Character,ModelID,WeaponID,Name,Attack,Accuracy,Strength,Magic,Endurance,Agility,Luck,Price,SellPrice
1,11,1,Shortsword,38,95,0,0,0,0,0,2000,500
1,14,4,Long Wakizashi,65,95,0,1,0,1,0,5000,1250
1,12,2,Saber,60,95,0,0,0,0,0,3200,800
1,11,1,Gladius,45,95,0,0,0,0,0,2600,650
1,14,4,Nikkari Aoe,145,92,0,0,0,0,0,14500,3630
1,14,4,Fudo Masamune,88,95,0,0,0,0,0,7500,1880
1,12,2,Iron Edge,71,95,0,0,1,0,0,6100,1530
1,11,1,Unused,71,95,0,0,0,0,0,400,100
1,12,2,Silver Saber,99,95,0,2,0,0,0,8150,2040
1,17,7,Legendary Cleaver,130,99,0,0,0,0,0,480,120
1,16,6,Steel Pipe,110,85,0,0,0,0,0,400,100
1,12,2,Aroundight,122,95,0,0,0,0,0,10900,2730
1,12,2,Tizona,138,95,0,0,0,0,0,13200,3300
1,15,5,Kaneshige,300,95,0,0,0,0,0,39200,9800
1,11,1,Sin Blade,188,95,0,0,0,0,0,23800,5950
1,14,4,Shishiou,166,95,0,0,0,0,0,18400,4600
1,15,5,Omokage,173,95,0,0,0,0,0,20300,5080
1,15,5,Kogarasumaru,223,95,0,0,0,0,0,28600,7150
1,15,5,Tajikarao Sword,240,95,3,0,0,0,0,29400,7350
1,11,1,Qi Xing Dao,257,95,0,0,0,0,0,34000,8500
1,13,3,Pulsing Blade,200,95,0,0,0,0,0,25300,6330
1,13,3,Gimlet,313,95,0,0,0,0,0,46500,11630
1,11,1,Excalibur,330,95,0,0,0,0,0,52000,13000
1,18,8,Deus Xiphos,360,99,7,0,0,0,0,71200,17800
1,19,9,Lucifer's Blade,425,95,7,7,7,7,7,90000,22500
1,12,2,Unused,50,95,0,0,0,0,0,400,100
1,11,1,Nameless Katana,130,99,1,1,1,1,1,12400,3100
1,14,4,Unused,50,95,0,0,0,0,0,400,100
1,11,1,Holy Knight Sword,30,85,0,0,0,0,0,12000,3000
1,12,2,Unused,50,95,0,0,0,0,0,400,100
1,13,3,Dual Sword,295,95,0,0,0,0,0,41700,10430
1,12,2,Yggdrasword,151,95,0,0,0,0,0,15200,3800
1,15,5,Translucent Blade,282,95,0,0,0,0,0,39800,9950
1,14,4,Envenomed Blade,269,95,0,0,0,0,0,35900,8980
1,15,5,Onimaru Kunitsuna,125,90,0,0,0,0,0,400,100
1,10,0,SEES Sword,108,95,0,0,0,0,0,400,100
1,15,5,Myohou Muramasa,300,95,0,0,0,0,0,40000,10000
1,15,5,Myoho Masamura,100,99,0,0,0,0,0,400,100
1,15,5,Outenta Mitsuyo,177,95,0,0,0,0,0,21300,5330
1,13,3,Fatal Blade,230,88,0,0,0,0,0,29000,7250
1,15,5,Amakuni,200,90,0,0,0,0,0,26800,6700
2,24,4,Practice Bow,30,98,0,0,0,0,0,2000,500
2,22,2,Short Bow,48,98,0,0,0,0,0,3000,750
2,22,2,Siren's Song,65,98,0,0,0,0,0,5700,1430
2,24,4,Shigetou-yumi,80,98,0,0,0,0,0,6800,1700
2,21,1,RainBow,35,98,0,1,0,0,0,2400,600
2,21,1,Uta,115,98,0,0,0,0,0,9750,2440
2,22,2,Pleiades,89,98,0,0,0,0,0,7700,1930
2,24,4,Bow of Affection,170,88,0,0,0,0,0,19300,4830
2,26,6,Toy Bow,100,88,0,0,0,0,0,400,100
2,21,1,Kamatha,129,98,0,0,0,0,0,11900,2980
2,22,2,Poison Arrow Bow,59,92,0,0,0,0,0,5000,1250
2,21,1,Bold Bow,114,92,0,0,0,0,0,9000,2250
2,24,4,Higo-yumi,157,98,0,0,0,0,0,16800,4200
2,21,1,Heavenly Windbow,140,98,0,0,0,3,0,14100,3530
2,23,3,Composite Bow,179,98,0,0,0,0,0,20800,5200
2,23,3,Magic Bow,164,98,0,3,0,0,0,18100,4530
2,21,1,Great Bow,215,98,0,0,0,0,0,26100,6530
2,21,1,Lightning Bow,191,98,0,0,0,0,0,22200,5550
2,21,1,Hero's Bow,242,98,0,0,0,0,0,31500,7880
2,25,5,Bow of Serenity,228,98,0,0,0,0,0,27900,6980
2,25,5,Yoichi's Bow,303,98,0,0,0,0,0,41900,10480
2,23,3,Dhanush,284,98,0,0,0,0,0,37700,9430
2,25,5,Maki's Resolve,314,88,0,0,0,0,0,48000,12000
2,27,7,Sarnga,370,98,0,0,0,0,0,58600,14650
2,28,8,Quintessence Bow,400,98,0,0,0,0,0,68000,17000
2,24,4,Source Yumi,135,88,0,0,0,0,0,13200,3300
2,22,2,Unused,135,88,0,0,0,0,0,400,100
2,20,0,Unused,135,88,0,0,0,0,0,400,100
2,21,1,Dreadnought,273,98,0,0,0,0,0,36300,9080
2,25,5,Kishin Bow,259,98,0,0,0,0,0,32500,8130
2,23,3,Circe's Bow,260,98,0,5,0,0,0,34000,8500
2,23,3,Whirlwind Bow,225,99,0,0,0,0,0,27000,6750
2,21,1,Gale Bow,120,88,0,0,0,0,0,38400,9600
2,22,2,Unused,130,99,0,0,0,0,0,400,100
2,25,5,Calamity Bow,260,88,0,0,0,0,0,35400,8850
2,20,0,SEES Longbow,101,98,0,0,0,0,0,400,100
3,34,4,Imitation Katana,45,92,0,0,0,0,0,2400,600
3,32,2,Bastard Sword,67,92,0,0,0,0,0,3500,880
3,31,1,Kishido Blade,54,92,0,0,1,0,0,3000,750
3,31,1,Great Sword,95,92,0,0,0,0,0,8000,2000
3,34,4,Raikou,76,92,0,0,0,0,0,6500,1630
3,32,2,Two-Handed Sword,157,92,0,0,3,0,0,16300,4080
3,34,4,All-Purpose Katana,103,92,0,0,0,0,2,9000,2250
3,34,4,Unused,100,92,0,0,0,0,0,400,100
3,36,6,Spiked Bat,120,85,0,0,0,0,0,400,100
3,32,2,Zanbatou,142,92,0,0,0,0,0,14150,3540
3,31,1,Assassin's Blade,126,92,0,0,0,3,0,12000,3000
3,34,4,Tsubaki-maru,171,92,0,0,0,0,0,19700,4930
3,34,4,Unused,100,92,0,0,0,0,0,400,100
3,31,1,Buster Blade,194,92,0,0,0,0,0,24150,6040
3,35,5,Mikazuki Munechika,235,92,0,0,0,0,0,33900,8480
3,35,5,Kaketsushinto,231,92,0,0,0,0,0,28900,7230
3,33,3,Deathbringer,210,92,0,0,0,0,0,25700,6430
3,33,3,Caladbolg,265,92,0,0,0,0,0,36100,9030
3,35,5,Apocalypse,248,92,0,0,0,0,0,30700,7680
3,35,5,Tobi-botaru,328,92,0,0,0,0,0,48800,12200
3,31,1,Elixir Sword,303,92,0,5,0,0,0,44000,11000
3,35,5,Orochito,180,92,0,0,0,0,0,22700,5680
3,38,8,Balmung,395,92,0,0,0,7,0,57300,14330
3,37,7,Laevateinn,300,90,0,0,0,0,0,43100,10780
3,39,9,Masakado's Katana,440,92,5,5,5,5,5,71000,17750
3,31,1,Unused,100,92,0,0,0,0,0,400,100
3,32,2,Claymore,128,90,0,0,0,0,0,13200,3300
3,32,2,Unused,100,92,0,0,0,0,0,400,100
3,34,4,Juzumaru,107,95,0,0,0,0,0,400,100
3,35,5,Dojigiri Yasutsuna,300,92,0,0,0,0,0,400,100
3,33,3,Berserker,288,92,0,0,0,0,0,42300,10580
3,33,3,Crimson Greatsword,277,92,3,0,0,0,0,37800,9450
3,31,1,Blazing Greatsword,90,90,0,0,0,0,0,20500,5130
3,35,5,Qingdi Blade,270,92,0,0,0,0,0,37200,9300
3,31,1,Unused,100,92,0,0,0,0,0,400,100
3,30,0,SEES Greatsword,111,92,0,0,0,0,0,400,100
4,42,2,Brass Gloves,51,97,0,0,0,0,0,4000,1000
4,44,4,Bladefist,83,97,0,0,0,0,0,7200,1800
4,42,2,Sonic Fist,67,97,0,0,0,0,0,5850,1460
4,42,2,Kaiser Knuckles,200,97,0,0,0,0,0,24600,6150
4,44,4,Beast Fangs,94,97,0,0,0,0,0,8300,2080
4,42,2,Champion Gloves,172,97,0,0,0,0,0,20000,5000
4,46,6,Jack's Gloves,145,85,0,0,0,0,0,3200,800
4,41,1,Meteor Knuckles,132,97,0,0,0,0,0,12500,3130
4,42,2,Gusto Gloves,118,97,0,0,0,0,0,10250,2560
4,41,1,Fists of Fury,125,93,0,0,0,0,0,11000,2750
4,45,5,Wicked Cestus,160,97,0,0,0,0,0,17400,4350
4,41,1,Blood Baghnakh,144,97,0,3,0,0,0,14600,3650
4,41,1,Titanic Knuckles,184,97,0,0,0,0,0,21450,5360
4,43,3,Pugilist's Fists,168,97,0,0,0,0,0,18000,4500
4,41,1,Crusher Fist,221,97,0,0,0,0,0,26500,6630
4,41,1,Wings of Vanth,195,97,0,0,0,0,3,23200,5800
4,43,3,Supreme Gloves,247,97,0,0,0,0,0,31900,7980
4,41,1,Diamond Knuckles,233,97,0,0,3,0,0,27900,6980
4,43,3,Golden Gloves,310,97,0,0,0,0,0,43100,10780
4,45,5,Dragon Fangs,289,97,0,0,0,0,0,38600,9650
4,41,1,Double Ziggurat,300,97,0,0,0,0,0,53200,13300
4,47,7,Sabazios,350,97,0,0,0,0,7,65400,16350
4,48,8,Evil Gloves,410,97,0,0,0,0,0,15900,3980
4,44,4,Root Cestus,150,93,0,0,0,0,0,9800,2450
4,42,2,Unused,100,93,0,0,0,0,0,400,100
4,40,0,Unused,100,93,0,0,0,0,0,400,100
4,41,1,Heaven's Fists,279,97,0,0,0,0,0,37000,9250
4,43,3,Spirit Gloves,263,97,0,0,0,0,0,33200,8300
4,41,1,Rapid Bands,213,97,0,0,0,0,0,25000,6250
4,41,1,Thunder Knuckles,120,80,0,0,0,0,0,17600,4400
4,46,6,Jack's Gauntlets,270,85,0,0,0,0,0,40000,10000
4,40,0,SEES Knuckles,105,97,0,0,0,0,0,400,100
5,50,0,SEES Rapier,115,95,0,0,0,0,0,400,100
5,54,4,Quarter Pike,96,95,0,0,0,2,0,8000,2000
5,52,2,Flamberge,157,95,0,0,0,0,0,17800,4450
5,54,4,Unused,100,95,0,0,0,0,0,400,100
5,51,1,Night Falcon,100,85,0,0,0,0,0,12000,3000
5,51,1,Elegant Fleuret,170,95,0,0,0,0,0,19600,4900
5,54,4,Ga Boo,134,95,0,0,0,0,0,13000,3250
5,52,2,Malice Mary,120,95,0,0,0,0,0,10600,2650
5,52,2,Serpent Sword,163,95,0,0,0,0,0,18000,4500
5,51,1,Skrep,149,95,0,0,0,0,0,14950,3740
5,55,5,Ithuriel Spear,185,95,0,0,0,0,0,23250,5810
5,53,3,Espada Ropera,266,95,0,0,0,0,0,34550,8640
5,51,1,Noble Saber,220,95,0,0,0,0,0,27900,6980
5,51,1,Main Gauche,197,95,0,0,3,0,0,25100,6280
5,52,2,Witch Saber,237,95,0,3,0,0,0,29400,7350
5,53,3,Rose Flamberge,254,95,0,0,0,0,0,33100,8280
5,51,1,Damascus Rapier,310,95,0,0,0,0,0,44850,11210
5,55,5,Brionac,270,95,0,0,0,5,0,36400,9100
5,55,5,Longinus,290,95,0,0,0,0,0,40000,10000
5,56,6,Kokuseki Senjin,425,95,5,5,5,5,5,67900,16980
5,57,7,Snow Queen Whip,377,95,0,5,0,0,0,52500,13130
5,51,1,Cocytus,150,85,0,0,0,0,0,16500,4130
5,51,1,Ice Saber,140,95,0,0,0,0,0,14800,3700
5,55,5,Charlotte,277,95,0,0,0,0,0,38800,9700
5,53,3,Illuminati,292,95,0,0,0,0,0,40200,10050
5,51,1,Aristocracy,231,95,0,0,0,0,0,28600,7150
5,55,5,Erinys,100,85,0,0,0,0,0,21000,5250
6,0,0,No equipment,0,0,0,0,0,0,0,100,30
7,326,0,Albireo,110,93,0,0,0,0,0,10000,2500
7,326,0,Six-Shot,145,93,0,0,0,0,0,14500,3630
7,586,4,Grenade Launcher,125,93,0,0,0,0,0,11750,2940
7,584,2,Orgone Rifle,170,93,0,0,0,0,0,20000,5000
7,586,4,Heavy Cannon X,156,93,3,0,0,0,0,16500,4130
7,586,4,Ingels Cannon,196,93,0,0,0,0,0,24600,6150
7,326,0,Five-Barrel Medusa,182,93,0,0,0,0,0,22000,5500
7,587,5,Railgun,233,93,0,0,0,0,0,31000,7750
7,327,1,Supersonic Minigun,213,93,0,0,0,3,0,26700,6680
7,588,6,Rocket Punch,200,85,0,0,0,0,0,25200,6300
7,585,3,Maxima Sniper,267,93,0,0,0,0,0,37300,9330
7,585,3,Angel Shot,245,93,0,0,0,0,0,32700,8180
7,585,3,Infanterie,308,93,1,1,1,1,1,45200,11300
7,585,3,Megido Fire,335,93,0,0,0,0,0,50500,12630
7,587,5,Antimatter Cannon,345,93,0,0,0,0,0,53100,13280
7,589,8,Metatronius,450,93,5,5,5,5,5,73000,18250
7,587,5,Flash Grenade,177,90,0,0,0,0,0,21000,5250
7,585,3,Kiss of Athena,295,93,0,0,0,0,0,43650,10910
7,587,5,Frigid Grenade,274,93,0,0,0,0,0,38800,9700
7,585,3,Blast Magnum,230,90,0,0,0,0,0,28700,7180
7,585,3,Pandemonium,400,93,0,0,0,7,0,68100,17030
7,584,2,Nucleus Rifle,170,99,0,0,0,0,0,20500,5130
7,585,3,Kyriotes,270,90,0,0,0,0,0,38100,9530
7,327,1,Unused,100,99,0,0,0,0,0,400,100
8,80,0,SEES Longspear,130,94,0,0,0,0,0,400,100
8,81,1,Omega Spear,270,94,0,0,0,0,0,35400,8850
8,84,4,Glaive,169,94,0,0,0,0,0,18600,4650
8,82,2,Sexy Lance,154,94,0,0,0,0,0,15780,3950
8,82,2,Rhongowennan,192,94,0,0,0,0,0,23000,5750
8,81,1,Lance of Death,176,94,0,0,0,0,0,19700,4930
8,86,6,Scrub Brush,170,88,0,0,0,0,0,480,120
8,83,3,Ranseur,227,94,0,0,0,0,0,28500,7130
8,81,1,Ningen Mukotsu,203,94,3,0,0,0,0,24300,6080
8,83,3,Ote-gine,200,88,0,0,0,0,0,23600,5900
8,85,5,Voulge,260,94,0,0,0,0,0,34200,8550
8,84,4,Poison Glaive,244,94,0,0,0,0,0,29700,7430
8,83,3,Nihon-gou,319,94,0,0,0,0,0,46550,11640
8,85,5,Romulus's Spear,298,94,0,0,0,0,0,41700,10430
8,83,3,Tonbo-kiri,330,94,0,0,0,0,0,52600,13150
8,87,7,Gae Bolg,200,90,0,0,0,0,0,38900,9730
8,88,8,Gungnir,400,99,0,5,0,0,0,62500,15630
8,89,9,Pinaka,440,94,0,0,0,0,0,69700,17430
8,81,1,King Spear,285,94,0,0,0,0,0,40000,10000
8,83,3,Bolt Lance,272,94,0,0,0,0,0,35800,8950
8,85,5,Warlock Lance,235,94,0,5,0,0,0,31000,7750
8,81,1,Blessed Lance,80,88,0,0,0,0,0,12100,3030
8,85,5,Fauchard,235,94,0,0,0,0,0,400,100
9,90,0,SEES Knife,125,96,0,0,0,0,0,400,100
9,96,6,Bone,250,90,0,0,0,0,0,400,100
9,92,2,Blitz Kunai,162,96,0,0,0,0,0,17000,4250
9,91,1,Lucky Knife,146,96,0,0,0,0,3,14350,3590
9,94,4,Silver Moon,181,96,0,0,0,0,0,20850,5210
9,92,2,Karasu-maru,168,96,0,0,0,0,0,18600,4650
9,91,1,Sword Breaker,215,96,0,0,0,0,0,26150,6540
9,92,2,Raven Claw,193,96,0,0,0,0,0,22300,5580
9,93,3,Shadowrend,250,96,0,0,0,0,0,31000,7750
9,91,1,Pesh Kabz,235,96,0,0,0,3,0,27800,6950
9,95,5,Howl,272,96,0,0,0,0,0,36400,9100
9,91,1,Athame,305,96,0,0,0,0,0,42600,10650
9,93,3,Full Moon Kunai,288,96,0,0,0,0,0,38100,9530
9,95,5,Grand Slasher,192,96,0,3,0,0,0,21400,5350
9,97,7,Vajra,410,96,9,9,9,9,9,67400,16850
9,94,4,Elementary Mask,240,96,0,0,0,5,0,29800,7450
9,91,1,Carnage Knife,155,90,0,0,0,0,0,16000,4000
9,91,1,Dagger of Protection,263,96,0,0,3,0,0,32700,8180
9,91,1,Rai Kunimitsu,266,90,0,0,0,0,0,400,100
9,93,3,Underworld Kunai,330,96,0,5,0,0,0,53200,13300
9,95,5,Hazakura,130,85,0,0,0,0,0,21500,5380
9,91,1,Paring Knife,185,90,0,0,0,0,0,1520,380
9,91,1,Tyrant's Knife,285,96,0,7,0,0,0,37200,9300
10,100,0,SEES Battle-Axe,144,90,0,0,0,0,0,29200,7300
10,102,2,Ogre Hammer,174,90,0,0,0,0,0,19800,4950
10,101,1,Night Stalker,159,90,0,0,0,0,0,16200,4050
10,103,3,Bus Stop Sign,180,90,0,0,0,0,0,880,220
10,100,0,Guillotine Axe,200,90,0,0,0,0,0,24500,6130
10,101,1,Megaton Rod,185,90,0,0,3,0,0,21250,5310
10,102,2,Charun's Hammer,190,90,0,0,0,0,0,23200,5800
10,102,2,Gaea's Grace,220,90,0,0,0,0,0,28700,7180
10,100,0,Celtis,220,90,0,0,0,0,0,31400,7850
10,102,2,Golden Crusher,300,90,0,0,0,0,0,35700,8930
10,105,5,Mjolnir,350,90,7,0,0,0,0,57800,14450
10,104,4,Corpse Rod,450,90,0,0,0,15,0,71200,17800
